,credit_score
0x05c9db563db8e38cc2899297da41ce430b61a484,1000.0
0x0298b2ecdef68bc139b098461217a5b3161b69c8,999.4562262098967
0x04d9f6ecd792e48a09fa5dc2138baed8e628a7e5,998.9124524197933
0x047a96ef72d7ee6a3f193bdb92e998fb300265df,998.3686786296901
0x005f16f017aa933bb41965b52848ceb8ee48b171,997.8249048395868
0x0476f3ee277eb20568ee2369b337f3ce55bc558a,997.2811310494834
0x05d2f53c5bd50defe43628e01197b47dcfa1764c,996.73735725938
0x04e492d349e82cafdc314cc0d966592b6ee9df11,996.1935834692767
0x03bc4c7bb35b0d8209c157b761da5beeb576cf2a,995.6498096791735
0x0415a37766ef8a945c1a38dd839c8b1f4feaecaa,995.1060358890701
0x00aac20f271c4731591cca07913e994d6f1075c0,994.5622620989668
0x00389de87cae34a6f89e13cc8225c4984add8b37,994.0184883088635
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,993.4747145187603
0x05c18ffc1c74cb67cb26bb5222aaf3355b74bbc3,992.9309407286569
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,992.3871669385536
0x058b10cbe1872ad139b00326686ee8ccef274c58,991.8433931484502
0x046773a7aa676523f981676b67e9f01719ca9eb3,991.2996193583468
0x000000003ce0cf2c037493b1dc087204bd7f713e,990.7558455682436
0x04ee10fd378f7cad5ac5751d7cd0f42b13ee3b76,990.2120717781403
0x05404b6f8990a4108150366adb572a870b137edc,989.668297988037
0x04fb136989106430e56f24c3d6a473488235480e,989.1245241979336
0x00e839bc0c9a130afe30974914c4b0100756cff4,988.5807504078304
0x045751c6c2dc89cb7d5976649eb63de2b2d77f5b,988.0369766177271
0x050ee024a0ffd8b9bd383271835b27dd66c3fec3,987.4932028276238
0x01b8f7ef9c12841ca94ee6652f0d5e9646a1168f,986.9494290375204
0x03188444e0ec5e63d99350baedd479ebcab82f63,986.405655247417
0x0000000002032370b971dabd36d72f3e5a7bf1ee,985.8618814573138
0x055a875cd844f04a2c2ee1bb72999d7e7b40761d,985.3181076672104
0x059949cb13386014e50039c5750b5f160b0d2778,984.7743338771071
0x02a16f8df2b11b3a0c9f47cc5d705830792e3e6f,984.2305600870038
0x00f8a06340b52aee151b871a915c06af3c053470,983.6867862969006
0x0430605323465e26dc21fbaaa9a1a4be6ae9d496,983.1430125067972
0x01c5c4ca74a665e40e96ed8ff221500b6366b8a6,982.5992387166939
0x049940feda4277b7f01ef10fca0b975c541d8fca,982.0554649265906
0x0464349e7012a83c965d672e9eca3896a1260624,981.5116911364872
0x049eebc628e60f804daae62df6c3715b9273b2c2,980.9679173463838
0x0309146e7b8baefa23f193632ef74602768af954,980.4241435562806
0x01214a235c6767040c8fef6bd33519a6c7ad79ae,979.8803697661773
0x05ebf7b089a859af295b4f4d96673edcb5ef6621,979.3365959760739
0x047ea31614fc085ce7b80412fbab65fd51a8bb7a,978.7928221859706
0x006f74448baead5563915255c8fbc12fd7f6a5df,978.2490483958674
0x000000e28faa823d5b53ff6c2922c28335840375,977.705274605764
0x0144c47df1cc4d52ff115f758918dc42a9db48aa,977.1615008156607
0x0508c3a6cb083b03d760a2cd7bd28a0a32a63e84,976.6177270255574
0x01222a114552e89e4c548170f8c1f4d5460d255a,976.073953235454
0x05275affa4b235deacf99e490f3834273c15ea8b,975.5301794453507
0x046ae0974283a9acf5cb4228a93d000c6d0ffd76,974.9864056552474
0x01ebce016681d076667bdb823ebe1f76830da6fa,974.4426318651441
0x0509083749716b68f0fdb490a59ca62f2cffebb9,973.8988580750407
0x004d71c111862702272e6beccdaafb07c9b96c37,973.3550842849374
0x02491d37984764d39b99e4077649dcd349221a62,972.8113104948342
0x00da65b9d6ea469301021381f9b16cf3e80fa8b1,972.2675367047309
0x007c4bb067d9b6afeb4c13415477d396123c4aa3,971.7237629146275
0x05dcb24761e5f9d3e8138f811e4e06db7104478f,971.1799891245242
0x0351b0b81fdd1db5dad0617d97c598cd3c37baaf,970.6362153344209
0x02debfb86afb43492c458869bd7904a897f08237,970.0924415443176
0x01a580e1370e798c48abda6b2f605035f2127d5c,969.5486677542142
0x0178e892ccb5ab71c7b1727fe7e50f317b0494b1,969.0048939641109
0x017b4cca058ecf79937066adf44ddfa249a620fd,968.4611201740076
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,967.9173463839043
0x01812580ff18cdaa3e9b3cdaa81496cd98d3f56f,967.373572593801
0x002d2715b179d0db3e17cc28317a98f2f65e6884,966.8297988036977
0x02faf4316dcb9330751f3677436aa849aa93851b,966.2860250135944
0x00000087c4cebffb95746d1935de7fbcab092f40,965.742251223491
0x02ffb9b4bbc29f9a59b20c541d369c5add62a5a3,965.1984774333877
0x009ff94a057c75f661e3e28f89b9b9d84e57fc67,964.6547036432844
0x005c7aa4001747cd4bf25c777318a13191a182ac,964.110929853181
0x0094cb1657ee9da34b93845aa142eaa59169ee05,963.5671560630777
0x05aeaabd4b221dc741b0213dedc1c2fe3613e2c0,963.0233822729745
0x020793b7db7551b1d70877579370096b3db0db07,962.4796084828712
0x011c3a587254b7312d78f2c8ba5adc41a1ed1357,961.9358346927678
0x01cb1826cd50f7f15626a1283ae812ad0a273388,961.3920609026645
0x0122a648094d10ea18ae72673aea0334fae4d3a5,960.8482871125613
0x00f777857b95c1d0fe7564ae343d1a00c80b38f1,960.3045133224579
0x00bdc8be263d20bb3a83aaeadfef258dd409e2df,959.7607395323545
0x03827daa642b7e409e4d08fb34836c22d0a3556b,959.2169657422512
